name,instruction,muscle_group,equipment,secondary_muscle_group,exercise_id,image_url
Good Morning (Barbell),,erectors,barbell,"[""glutes"", ""hamstrings""]",fbcd3a70-b930-41cd-b622-576bfef2c0d3,
Back Extension (Machine),,erectors,machine,"[""glutes""]",7790df69-3d85-4551-adcb-dc1365b42be3,
Back Extension (Bodyweight),,erectors,bodyweight,"[""glutes""]",cbbba8f5-aaa4-4e57-9e17-b2cc961902a1,
Hyperextension (Plate-Loaded),,erectors,plate-loaded,"[""glutes""]",ab559a55-0a0c-4989-a656-2453217b8f30,
Biceps Curl (Barbell),,biceps,barbell,[],eaa37c56-f68f-4964-8531-678133785f90,
Biceps Curl (Barbell, EZ),,biceps,barbell,[],7a1a9bf4-6393-45f7-b668-f5d94b44f7c1,
Biceps Curl (Dumbbell),,biceps,dumbbell,[],281bf1ae-2444-4d91-83e3-e02b69636d3c,
Biceps Curl (Dumbbell, Unilateral),,biceps,dumbbell,[],b069cd81-35a5-4c37-a8cd-387fadcc748e,
Biceps Curl (Dumbbell, Hammer),,biceps,dumbbell,"[""forearms""]",e0d3180a-00ff-4e5d-843f-80afa09b9829,
Biceps Curl (Cable),,biceps,cable,[],0b226a24-424e-4828-9e44-0d35c24a6bf6,
Biceps Curl (Cable, Unilateral),,biceps,cable,[],cce7b8ca-b93a-4411-ac47-3a2f2a96e35f,
Biceps Curl (Machine),,biceps,machine,[],ca5b3e45-1d86-4b44-ba48-2f6821a0d643,
Incline Biceps Curl (Dumbbell),,biceps,dumbbell,[],f4caabf5-860e-4f3c-8b78-64f2c837a5b8,
Preacher Curl (Barbell),,biceps,barbell,[],91e20601-58ba-430b-ba9e-9ef098d89119,
Preacher Curl (Barbell, EZ),,biceps,barbell,[],7feff4ef-983e-4b87-b876-8606655faf53,
Preacher Curl (Dumbbell),,biceps,dumbbell,[],14e50821-8ca4-4af7-af8c-91ddcdd5779f,
Preacher Curl (Machine),,biceps,machine,[],39590f3c-b62a-4808-8b58-29354f1fceeb,
Concentration Curl (Dumbbell, Unilateral),,biceps,dumbbell,[],51e219bb-78b9-42b0-9284-36d20557e3a1,
Spider Curl (Dumbbell),,biceps,dumbbell,[],4f32e9a7-17b3-4c7e-a5f9-698a7b22a304,
Reverse Curl (Barbell),,forearms,barbell,"[""biceps""]",4be440cc-02a1-431c-8bc3-6822649ba95b,
